experiment-id,analyser-qos,instancecount,publisher-qos,delay,topic,message-rate,loss-rate,out-of-order-rate,inter-message-gap
experiment0-4-0-4,0,4,0,4,counter/1/0/4,160,0,0,5
experiment0-4-0-4,0,4,0,4,counter/2/0/4,161,0,0,5
experiment0-4-0-4,0,4,0,4,counter/3/0/4,161,0,0,5
experiment0-4-0-4,0,4,0,4,counter/4/0/4,161,0,0,5
experiment0-4-1-0,0,4,1,0,counter/1/1/0,474,0,0,0
experiment0-4-1-0,0,4,1,0,counter/2/1/0,473,0,0,0
experiment0-4-1-0,0,4,1,0,counter/3/1/0,469,0,0,0
experiment0-4-1-0,0,4,1,0,counter/4/1/0,473,0,0,0
experiment0-4-1-1,0,4,1,1,counter/1/1/1,404,0,0,0
experiment0-4-1-1,0,4,1,1,counter/2/1/1,404,0,0,0
experiment0-4-1-1,0,4,1,1,counter/3/1/1,405,0,0,0
experiment0-4-1-1,0,4,1,1,counter/4/1/1,402,0,0,0
experiment0-4-1-2,0,4,1,2,counter/1/1/2,280,0,0,3
experiment0-4-1-2,0,4,1,2,counter/2/1/2,280,0,0,3
experiment0-4-1-2,0,4,1,2,counter/3/1/2,281,0,0,3
experiment0-4-1-2,0,4,1,2,counter/4/1/2,281,0,0,3
experiment0-4-1-4,0,4,1,4,counter/1/1/4,172,0,0,0
experiment0-4-1-4,0,4,1,4,counter/2/1/4,173,0,0,0
experiment0-4-1-4,0,4,1,4,counter/3/1/4,173,0,0,0
experiment0-4-1-4,0,4,1,4,counter/4/1/4,172,0,0,0
experiment0-4-2-0,0,4,2,0,counter/1/2/0,656,0,0,0
experiment0-4-2-0,0,4,2,0,counter/2/2/0,654,0,0,0
experiment0-4-2-0,0,4,2,0,counter/3/2/0,650,0,0,0
experiment0-4-2-0,0,4,2,0,counter/4/2/0,653,0,0,0
experiment0-4-2-1,0,4,2,1,counter/1/2/1,400,3.3816425120772946,0,0
experiment0-4-2-1,0,4,2,1,counter/2/2/1,412,0,0,0
experiment0-4-2-1,0,4,2,1,counter/3/2/1,408,0,0,0
experiment0-4-2-1,0,4,2,1,counter/4/2/1,412,0,0,0
experiment0-4-2-2,0,4,2,2,counter/1/2/2,293,0,0,0
experiment0-4-2-2,0,4,2,2,counter/2/2/2,292,0,0,0
experiment0-4-2-2,0,4,2,2,counter/3/2/2,292,0,0,0
experiment0-4-2-2,0,4,2,2,counter/4/2/2,292,0,0,0
